,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-11,6.35,15220,96647.0,4.6,96651.6,Sell
2,2012-07-31,6.75,14318,96646.5,5.1,96651.6,Buy
3,2012-10-25,7.14,14318,102230.52,5.1,102235.62000000001,Sell
4,2013-01-09,7.6,13452,102235.2,0.42,102235.62000000001,Buy
5,2013-06-25,9.03,13452,121471.56,0.42,121471.98,Sell
6,2013-07-10,9.78,12420,121467.6,4.38,121471.98,Buy
7,2013-08-22,9.75,12420,121095.0,4.38,121099.38,Sell
8,2013-09-12,10.26,11803,121098.78,0.6,121099.38,Buy
9,2013-10-10,10.09,11803,119092.27,0.6,119092.87000000001,Sell
10,2013-10-22,11.02,10806,119082.12,10.75,119092.87000000001,Buy
11,2014-01-29,11.41,10806,123296.46,10.75,123307.21,Sell
12,2014-02-19,12.2,10107,123305.4,1.81,123307.21,Buy
13,2014-04-15,12.19,10107,123204.33,1.81,123206.14,Sell
14,2014-04-22,12.72,9686,123205.92,0.22,123206.14,Buy
15,2014-08-05,13.58,9686,131535.88,0.22,131536.1,Sell
16,2014-08-21,14.43,9115,131529.45,6.65,131536.1,Buy
17,2014-10-03,14.03,9115,127883.45,6.65,127890.09999999999,Sell
18,2014-11-11,15.2,8413,127877.6,12.5,127890.09999999999,Buy
19,2015-01-08,15.29,8413,128634.77,12.5,128647.27,Sell
20,2015-01-09,15.64,8225,128639.0,8.27,128647.27,Buy
21,2015-01-15,14.92,8225,122717.0,8.27,122725.27,Sell
22,2015-02-18,16.08,7632,122722.56,2.71,122725.27,Buy
23,2015-03-13,15.62,7632,119211.84,2.71,119214.55,Sell
24,2015-03-23,16.31,7309,119209.79,4.76,119214.55,Buy
25,2015-03-30,15.77,7309,115262.93,4.76,115267.68999999999,Sell
26,2015-03-31,15.81,7290,115254.9,12.79,115267.68999999999,Buy
27,2015-04-01,15.68,7290,114307.2,12.79,114319.98999999999,Sell
28,2015-04-09,15.88,7198,114304.24,15.75,114319.98999999999,Buy
29,2015-05-08,16.33,7198,117543.34,15.75,117559.09,Sell
30,2015-05-19,16.69,7043,117547.67,11.42,117559.09,Buy
31,2015-06-10,16.07,7043,113181.01,11.42,113192.43,Sell
32,2015-06-11,16.4,6901,113176.4,16.03,113192.43,Buy
33,2015-06-17,16.25,6901,112141.25,16.03,112157.28,Sell
34,2015-06-25,16.48,6805,112146.4,10.88,112157.28,Buy
35,2015-06-26,16.35,6805,111261.75,10.88,111272.63,Sell
36,2015-07-21,16.65,6683,111271.95,0.68,111272.63,Buy
37,2015-07-29,16.18,6683,108130.94,0.68,108131.62,Sell
38,2015-11-04,16.39,6597,108124.83,6.79,108131.62,Buy
39,2015-12-14,14.93,6597,98493.21,6.79,98500.0,Sell
40,2016-03-23,15.33,6425,98495.25,4.75,98500.0,Buy
41,2016-05-20,15.4,6425,98945.0,4.75,98949.75,Sell
42,2016-05-27,16.09,6149,98937.41,12.34,98949.75,Buy
43,2016-06-29,15.47,6149,95125.03,12.34,95137.37,Sell
44,2016-07-13,17.1,5563,95127.3,10.07,95137.37,Buy
45,2016-09-14,16.7,5563,92902.1,10.07,92912.17000000001,Sell
46,2016-11-23,17.85,5205,92909.25,2.92,92912.17000000001,Buy
47,2017-04-18,20.38,5205,106077.9,2.92,106080.81999999999,Sell
48,2017-04-27,21.26,4989,106066.14,14.68,106080.81999999999,Buy
49,2017-08-22,22.14,4989,110456.46,14.68,110471.14,Sell
50,2017-08-23,22.28,4958,110464.24,6.9,110471.14,Buy
51,2017-08-24,22.4,4958,111059.2,6.9,111066.09999999999,Sell
52,2017-09-05,22.79,4873,111055.67,10.43,111066.09999999999,Buy
53,2018-02-08,26.89,4873,131034.97,10.43,131045.4,Sell
54,2018-02-28,28.34,4624,131044.16,1.24,131045.4,Buy
55,2018-03-01,27.47,4624,127021.28,1.24,127022.52,Sell
56,2018-03-14,28.72,4422,126999.84,22.68,127022.52,Buy
57,2018-03-15,28.32,4422,125231.04,22.68,125253.71999999999,Sell
58,2018-06-06,28.14,4451,125251.14,2.58,125253.71999999999,Buy
59,2018-10-15,28.14,4451,125251.14,2.58,125253.72,Sell
60,2019-02-07,26.75,4682,125243.5,10.22,125253.72,Buy
61,2019-05-16,29.62,4682,138680.84,10.22,138691.06,Sell
62,2019-05-17,29.47,4706,138685.82,5.24,138691.06,Buy
63,2019-05-20,29.25,4706,137650.5,5.24,137655.74,Sell
64,2019-06-13,30.25,4550,137637.5,18.24,137655.74,Buy
65,2019-08-08,30.34,4550,138047.0,18.24,138065.24,Sell
66,2019-09-10,31.77,4345,138040.65,24.59,138065.24,Buy
67,2019-09-25,31.71,4345,137779.95,24.59,137804.54,Sell
68,2019-10-17,32.42,4250,137785.0,19.54,137804.54,Buy
69,2020-02-27,33.44,4250,142120.0,19.54,142139.54,Sell
70,2020-05-27,29.89,4755,142126.95,12.59,142139.54,Buy
71,2020-09-23,35.82,4755,170324.1,12.59,170336.69,Sell
72,2020-10-12,39.87,4272,170324.64,12.05,170336.69,Buy
73,2020-10-29,34.77,4272,148537.44,12.05,148549.49,Sell
74,2020-11-11,41.23,3602,148510.46,39.03,148549.49,Buy
75,2021-09-22,61.89,3602,222927.78,39.03,222966.81,Sell
76,2021-09-28,62.89,3545,222945.05,21.76,222966.81,Buy
77,2021-09-29,61.6,3545,218372.0,21.76,218393.76,Sell
78,2021-10-20,66.04,3306,218328.24,65.52,218393.76,Buy
79,2022-01-19,67.94,3306,224609.64,65.52,224675.16,Sell
80,2022-04-06,64.18,3500,224630.0,45.16,224675.16,Buy
81,2022-04-14,63.15,3500,221025.0,45.16,221070.16,Sell
