,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-14,6.75,15220,102735.0,4.6,102739.6,Sell
2,2013-01-28,8.06,12746,102732.76,6.84,102739.6,Buy
3,2014-10-21,13.43,12746,171178.78,6.84,171185.62,Sell
4,2014-11-28,15.71,10896,171176.16,9.46,171185.62,Buy
5,2015-09-10,13.81,10896,150473.76,9.46,150483.22,Sell
6,2015-11-20,16.07,9364,150479.48,3.74,150483.22,Buy
7,2016-01-22,13.24,9364,123979.36,3.74,123983.1,Sell
8,2016-04-11,15.49,8004,123981.96,1.14,123983.1,Buy
9,2016-10-24,17.09,8004,136788.36,1.14,136789.5,Sell
10,2016-12-12,18.89,7241,136782.49,7.01,136789.5,Buy
11,2018-04-05,26.31,7241,190510.71,7.01,190517.72,Sell
12,2018-06-22,28.33,6724,190490.92,26.8,190517.72,Buy
13,2018-10-31,27.04,6724,181816.96,26.8,181843.75999999998,Sell
14,2019-03-12,28.26,6434,181824.84,18.92,181843.75999999998,Buy
15,2019-06-10,30.25,6434,194628.5,18.92,194647.42,Sell
16,2019-06-11,30.59,6363,194644.17,3.25,194647.42,Buy
17,2019-08-26,29.71,6363,189044.73,3.25,189047.98,Sell
18,2019-11-04,34.15,5535,189020.25,27.73,189047.98,Buy
19,2020-03-16,19.8,5535,109593.0,27.73,109620.73,Sell
20,2020-06-12,30.91,3546,109606.86,13.87,109620.73,Buy
21,2022-02-04,64.34,3546,228149.64,13.87,228163.51,Sell
