,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-09,6.69,15220,101821.8,4.6,101826.40000000001,Sell
2,2013-01-23,7.94,12824,101822.56,3.84,101826.40000000001,Buy
3,2014-02-11,11.73,12824,150425.52,3.84,150429.36,Sell
4,2014-05-05,12.7,11844,150418.8,10.56,150429.36,Buy
5,2014-10-16,12.25,11844,145089.0,10.56,145099.56,Sell
6,2014-11-24,15.66,9265,145089.9,9.66,145099.56,Buy
7,2015-09-04,13.58,9265,125818.7,9.66,125828.36,Sell
8,2015-11-17,15.55,8091,125815.05,13.31,125828.36,Buy
9,2016-01-19,13.25,8091,107205.75,13.31,107219.06,Sell
10,2016-04-06,15.35,6984,107204.4,14.66,107219.06,Buy
11,2016-10-19,16.93,6984,118239.12,14.66,118253.78,Sell
12,2016-12-07,18.08,6540,118243.2,10.58,118253.78,Buy
13,2018-04-02,25.75,6540,168405.0,10.58,168415.58,Sell
14,2018-06-19,28.0,6014,168392.0,23.58,168415.58,Buy
15,2018-10-26,26.12,6014,157085.68,23.58,157109.25999999998,Sell
16,2019-03-07,27.83,5645,157100.35,8.91,157109.25999999998,Buy
17,2019-06-05,28.82,5645,162688.9,8.91,162697.81,Sell
18,2019-07-16,32.84,4954,162689.36,8.45,162697.81,Buy
19,2019-08-21,30.84,4954,152781.36,8.45,152789.81,Sell
20,2019-10-30,33.2,4602,152786.4,3.41,152789.81,Buy
21,2020-03-11,27.71,4602,127521.42,3.41,127524.83,Sell
22,2020-06-09,33.53,3803,127514.59,10.24,127524.83,Buy
23,2021-10-14,62.62,3803,238143.86,10.24,238154.09999999998,Sell
24,2021-11-02,68.71,3466,238148.86,5.24,238154.09999999998,Buy
25,2022-02-01,65.63,3466,227473.58,5.24,227478.81999999998,Sell
