,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-08,6.9,15220,105018.0,4.6,105022.6,Sell
2,2013-01-22,7.85,13378,105017.3,5.3,105022.6,Buy
3,2014-02-10,11.66,13378,155987.48,5.3,155992.78,Sell
4,2014-03-11,12.81,12177,155987.37,5.41,155992.78,Buy
5,2014-10-15,12.53,12177,152577.81,5.41,152583.22,Sell
6,2014-11-21,15.73,9700,152581.0,2.22,152583.22,Buy
7,2015-07-13,16.12,9700,156364.0,2.22,156366.22,Sell
8,2015-11-16,15.0,10424,156360.0,6.22,156366.22,Buy
9,2016-01-15,12.82,10424,133635.68,6.22,133641.9,Sell
10,2016-04-05,15.4,8678,133641.2,0.7,133641.9,Buy
11,2016-10-18,16.96,8678,147178.88,0.7,147179.58000000002,Sell
12,2016-12-06,18.04,8158,147170.32,9.26,147179.58000000002,Buy
13,2018-03-29,25.47,8158,207784.26,9.26,207793.52000000002,Sell
14,2018-06-18,28.3,7342,207778.6,14.92,207793.52000000002,Buy
15,2018-10-25,26.42,7342,193975.64,14.92,193990.56000000003,Sell
16,2019-03-06,28.3,6854,193968.2,22.36,193990.56000000003,Buy
17,2019-06-04,27.77,6854,190335.58,22.36,190357.93999999997,Sell
18,2019-07-15,32.94,5778,190327.32,30.62,190357.93999999997,Buy
19,2019-08-20,30.7,5778,177384.6,30.62,177415.22,Sell
20,2019-10-29,33.1,5359,177382.9,32.32,177415.22,Buy
21,2020-03-10,28.57,5359,153106.63,32.32,153138.95,Sell
22,2020-06-08,33.56,4563,153134.28,4.67,153138.95,Buy
23,2021-10-13,61.36,4563,279985.68,4.67,279990.35,Sell
24,2021-11-01,68.74,4073,279978.02,12.33,279990.35,Buy
25,2022-01-31,62.9,4073,256191.7,12.33,256204.03,Sell
