,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-05,7.07,15220,107605.4,4.6,107610.0,Sell
2,2013-01-16,7.69,13993,107606.17,3.83,107610.0,Buy
3,2013-07-02,9.32,13993,130414.76,3.83,130418.59,Sell
4,2013-07-17,10.16,12836,130413.76,4.83,130418.59,Buy
5,2013-09-06,9.92,12836,127333.12,4.83,127337.95,Sell
6,2013-09-19,10.77,11823,127333.71,4.24,127337.95,Buy
7,2014-02-05,11.04,11823,130525.92,4.24,130530.16,Sell
8,2014-03-06,12.78,10213,130522.14,8.02,130530.16,Buy
9,2014-08-12,13.64,10213,139305.32,8.02,139313.34,Sell
10,2014-08-28,14.49,9614,139306.86,6.48,139313.34,Buy
11,2014-10-10,13.59,9614,130654.26,6.48,130660.73999999999,Sell
12,2014-11-18,15.25,8567,130646.75,13.99,130660.73999999999,Buy
13,2015-07-08,15.74,8567,134844.58,13.99,134858.56999999998,Sell
14,2015-11-11,16.01,8423,134852.23,6.34,134858.56999999998,Buy
15,2016-01-12,13.86,8423,116742.78,6.34,116749.12,Sell
16,2016-03-31,15.6,7483,116734.8,14.32,116749.12,Buy
17,2016-09-21,17.0,7483,127211.0,14.32,127225.32,Sell
18,2016-12-01,17.96,7083,127210.68,14.64,127225.32,Buy
19,2018-02-15,27.53,7083,194994.99,14.64,195009.63,Sell
20,2018-02-16,27.69,7042,194992.98,16.65,195009.63,Buy
21,2018-03-26,25.73,7042,181190.66,16.65,181207.31,Sell
22,2018-06-13,28.83,6285,181196.55,10.76,181207.31,Buy
23,2018-10-22,28.41,6285,178556.85,10.76,178567.61000000002,Sell
24,2019-03-01,28.59,6245,178544.55,23.06,178567.61000000002,Buy
25,2019-05-30,28.18,6245,175984.1,23.06,176007.16,Sell
26,2019-07-10,32.37,5437,175995.69,11.47,176007.16,Buy
27,2019-08-15,29.28,5437,159195.36,11.47,159206.83,Sell
28,2019-10-24,32.66,4874,159184.84,21.99,159206.83,Buy
29,2020-03-05,33.11,4874,161378.14,21.99,161400.13,Sell
30,2020-06-03,31.5,5123,161374.5,25.63,161400.13,Buy
31,2020-09-30,36.26,5123,185759.98,25.63,185785.61000000002,Sell
32,2020-10-19,39.63,4688,185785.44,0.17,185785.61000000002,Buy
33,2021-10-08,62.75,4688,294172.0,0.17,294172.17,Sell
34,2021-10-27,67.61,4351,294171.11,1.06,294172.17,Buy
35,2022-01-26,62.81,4351,273286.31,1.06,273287.37,Sell
