,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-06,7.16,15220,108975.2,4.6,108979.8,Sell
2,2013-01-17,7.78,14007,108974.46,5.34,108979.8,Buy
3,2013-07-03,9.25,14007,129564.75,5.34,129570.09,Sell
4,2013-07-18,10.17,12740,129565.8,4.29,129570.09,Buy
5,2013-09-09,9.92,12740,126380.8,4.29,126385.09,Sell
6,2013-09-10,10.18,12415,126384.7,0.39,126385.09,Buy
7,2014-02-06,11.14,12415,138303.1,0.39,138303.49000000002,Sell
8,2014-03-07,12.88,10737,138292.56,10.93,138303.49000000002,Buy
9,2014-08-13,13.74,10737,147526.38,10.93,147537.31,Sell
10,2014-08-29,14.62,10091,147530.42,6.89,147537.31,Buy
11,2014-10-13,13.28,10091,134008.48,6.89,134015.37000000002,Sell
12,2014-11-19,15.38,8713,134005.94,9.43,134015.37000000002,Buy
13,2015-07-09,15.83,8713,137926.79,9.43,137936.22,Sell
14,2015-11-12,15.64,8819,137929.16,7.06,137936.22,Buy
15,2016-01-13,13.94,8819,122936.86,7.06,122943.92,Sell
16,2016-04-01,15.36,8004,122941.44,2.48,122943.92,Buy
17,2016-09-22,17.44,8004,139589.76,2.48,139592.24000000002,Sell
18,2016-09-23,17.4,8022,139582.8,9.44,139592.24000000002,Buy
19,2016-09-26,17.13,8022,137416.86,9.44,137426.3,Sell
20,2016-12-02,17.79,7724,137409.96,16.34,137426.3,Buy
21,2018-03-27,26.49,7724,204608.76,16.34,204625.1,Sell
22,2018-06-14,28.78,7109,204597.02,28.08,204625.1,Buy
23,2018-10-23,27.15,7109,193009.35,28.08,193037.43,Sell
24,2019-03-04,28.82,6698,193036.36,1.07,193037.43,Buy
25,2019-05-31,27.6,6698,184864.8,1.07,184865.87,Sell
26,2019-07-11,32.56,5677,184843.12,22.75,184865.87,Buy
27,2019-08-16,29.61,5677,168095.97,22.75,168118.72,Sell
28,2019-10-25,32.41,5187,168110.67,8.05,168118.72,Buy
29,2020-03-06,30.53,5187,158359.11,8.05,158367.15999999997,Sell
30,2020-06-04,31.66,5002,158363.32,3.84,158367.15999999997,Buy
31,2020-10-01,37.24,5002,186274.48,3.84,186278.32,Sell
32,2020-10-02,35.94,5183,186277.02,1.3,186278.32,Buy
33,2020-10-05,36.88,5183,191149.04,1.3,191150.34,Sell
34,2020-10-06,37.73,5066,191140.18,10.16,191150.34,Buy
35,2020-10-07,37.3,5066,188961.8,10.16,188971.96,Sell
36,2020-10-08,38.34,4928,188939.52,32.44,188971.96,Buy
37,2021-10-11,62.09,4928,305979.52,32.44,306011.96,Sell
38,2021-10-28,67.3,4546,305945.8,66.16,306011.96,Buy
39,2022-01-27,62.11,4546,282352.06,66.16,282418.22,Sell
