,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-12,6.79,15220,103343.8,4.6,103348.40000000001,Sell
2,2013-01-24,7.94,13016,103347.04,1.36,103348.40000000001,Buy
3,2014-10-17,12.98,13016,168947.68,1.36,168949.03999999998,Sell
4,2014-11-25,15.71,10754,168945.34,3.7,168949.03999999998,Buy
5,2015-09-08,14.02,10754,150771.08,3.7,150774.78,Sell
6,2015-11-18,15.56,9689,150760.84,13.94,150774.78,Buy
7,2016-01-20,12.58,9689,121887.62,13.94,121901.56,Sell
8,2016-04-07,15.47,7879,121888.13,13.43,121901.56,Buy
9,2016-10-20,16.91,7879,133233.89,13.43,133247.32,Sell
10,2016-12-08,18.59,7167,133234.53,12.79,133247.32,Buy
11,2018-04-03,25.01,7167,179246.67,12.79,179259.46000000002,Sell
12,2018-06-20,28.47,6296,179247.12,12.34,179259.46000000002,Buy
13,2018-10-29,26.69,6296,168040.24,12.34,168052.58,Sell
14,2019-03-08,27.05,6212,168034.6,17.98,168052.58,Buy
15,2019-06-06,29.0,6212,180148.0,17.98,180165.98,Sell
16,2019-07-17,32.63,5521,180150.23,15.75,180165.98,Buy
17,2019-08-22,30.99,5521,171095.79,15.75,171111.54,Sell
18,2019-10-31,33.33,5133,171082.89,28.65,171111.54,Buy
19,2020-03-12,22.86,5133,117340.38,28.65,117369.03,Sell
20,2020-06-10,33.78,3474,117351.72,17.31,117369.03,Buy
21,2021-10-15,64.25,3474,223204.5,17.31,223221.81,Sell
22,2021-10-18,63.99,3488,223197.12,24.69,223221.81,Buy
23,2022-02-02,67.02,3488,233765.76,24.69,233790.45,Sell
