,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-16,6.46,15220,98321.2,4.6,98325.8,Sell
2,2012-08-03,6.76,14545,98324.2,1.6,98325.8,Buy
3,2012-11-01,7.1,14545,103269.5,1.6,103271.1,Sell
4,2013-01-14,7.7,13411,103264.7,6.4,103271.1,Buy
5,2013-06-28,9.27,13411,124319.97,6.4,124326.37,Sell
6,2013-07-15,10.13,12273,124325.49,0.88,124326.37,Buy
7,2013-09-04,9.68,12273,118802.64,0.88,118803.52,Sell
8,2013-09-17,10.4,11423,118799.2,4.32,118803.52,Buy
9,2014-02-03,11.45,11423,130793.35,4.32,130797.67000000001,Sell
10,2014-03-04,12.59,10389,130797.51,0.16,130797.67000000001,Buy
11,2014-08-08,13.35,10389,138693.15,0.16,138693.31,Sell
12,2014-08-26,14.6,9499,138685.4,7.91,138693.31,Buy
13,2014-10-08,13.69,9499,130041.31,7.91,130049.22,Sell
14,2014-11-14,15.2,8555,130036.0,13.22,130049.22,Buy
15,2015-01-21,14.89,8555,127383.95,13.22,127397.17,Sell
16,2015-02-23,16.28,7825,127391.0,6.17,127397.17,Buy
17,2015-07-06,15.63,7825,122304.75,6.17,122310.92,Sell
18,2015-11-09,16.07,7611,122308.77,2.15,122310.92,Buy
19,2016-01-08,14.07,7611,107086.77,2.15,107088.92,Sell
20,2016-03-29,15.13,7077,107075.01,13.91,107088.92,Buy
21,2016-09-19,17.0,7077,120309.0,13.91,120322.91,Sell
22,2016-11-29,17.94,6706,120305.64,17.27,120322.91,Buy
23,2018-02-13,26.03,6706,174557.18,17.27,174574.44999999998,Sell
24,2018-06-11,28.66,6091,174568.06,6.39,174574.44999999998,Buy
25,2018-10-18,28.92,6091,176151.72,6.39,176158.11000000002,Sell
26,2019-02-27,28.21,6244,176143.24,14.87,176158.11000000002,Buy
27,2019-05-28,29.01,6244,181138.44,14.87,181153.31,Sell
28,2019-07-08,32.07,5648,181131.36,21.95,181153.31,Buy
29,2019-08-13,29.91,5648,168931.68,21.95,168953.63,Sell
30,2019-09-13,32.72,5163,168933.36,20.27,168953.63,Buy
31,2019-10-09,30.54,5163,157678.02,20.27,157698.28999999998,Sell
32,2019-10-22,32.61,4835,157669.35,28.94,157698.28999999998,Buy
33,2020-03-03,34.24,4835,165550.4,28.94,165579.34,Sell
34,2020-06-01,30.17,5488,165572.96,6.38,165579.34,Buy
35,2020-09-28,36.29,5488,199159.52,6.38,199165.9,Sell
36,2020-10-15,38.51,5171,199135.21,30.69,199165.9,Buy
37,2020-11-03,36.19,5171,187138.49,30.69,187169.18,Sell
38,2020-11-23,41.38,4523,187161.74,7.44,187169.18,Buy
39,2021-10-06,59.88,4523,270837.24,7.44,270844.68,Sell
40,2021-10-25,66.96,4044,270786.24,58.44,270844.68,Buy
41,2022-01-24,60.34,4044,244014.96,58.44,244073.4,Sell
42,2022-04-11,63.34,3853,244049.02,24.38,244073.4,Buy
43,2022-04-12,63.02,3853,242816.06,24.38,242840.44,Sell
