,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-13,6.32,15220,96190.4,4.6,96195.0,Sell
2,2012-08-02,6.56,14663,96189.28,5.72,96195.0,Buy
3,2012-10-31,7.12,14663,104400.56,5.72,104406.28,Sell
4,2013-01-11,7.72,13524,104405.28,1.0,104406.28,Buy
5,2013-06-27,9.33,13524,126178.92,1.0,126179.92,Sell
6,2013-07-12,10.06,12542,126172.52,7.4,126179.92,Buy
7,2013-09-03,9.77,12542,122535.34,7.4,122542.73999999999,Sell
8,2013-09-16,10.48,11693,122542.64,0.1,122542.73999999999,Buy
9,2014-01-31,11.34,11693,132598.62,0.1,132598.72,Sell
10,2014-02-21,12.29,10789,132596.81,1.91,132598.72,Buy
11,2014-08-07,13.56,10789,146298.84,1.91,146300.75,Sell
12,2014-08-25,14.57,10041,146297.37,3.38,146300.75,Buy
13,2014-10-07,13.97,10041,140272.77,3.38,140276.15,Sell
14,2014-11-13,15.21,9222,140266.62,9.53,140276.15,Buy
15,2015-01-20,15.02,9222,138514.44,9.53,138523.97,Sell
16,2015-02-20,16.06,8625,138517.5,6.47,138523.97,Buy
17,2015-07-02,15.99,8625,137913.75,6.47,137920.22,Sell
18,2015-11-06,16.14,8545,137916.3,3.92,137920.22,Buy
19,2015-12-16,15.56,8545,132960.2,3.92,132964.12000000002,Sell
20,2015-12-17,15.87,8378,132958.86,5.26,132964.12000000002,Buy
21,2015-12-18,15.2,8378,127345.6,5.26,127350.86,Sell
22,2016-03-28,15.26,8345,127344.7,6.16,127350.86,Buy
23,2016-05-24,15.59,8345,130098.55,6.16,130104.71,Sell
24,2016-05-25,15.96,8151,130089.96,14.75,130104.71,Buy
25,2016-09-16,16.88,8151,137588.88,14.75,137603.63,Sell
26,2016-11-28,18.04,7627,137591.08,12.55,137603.63,Buy
27,2017-04-20,20.45,7627,155972.15,12.55,155984.69999999998,Sell
28,2017-04-21,20.64,7557,155976.48,8.22,155984.69999999998,Buy
29,2017-04-24,20.98,7557,158545.86,8.22,158554.08,Sell
30,2017-04-25,21.11,7510,158536.1,17.98,158554.08,Buy
31,2017-08-30,22.36,7510,167923.6,17.98,167941.58000000002,Sell
32,2017-08-31,22.7,7398,167934.6,6.98,167941.58000000002,Buy
33,2018-02-12,26.0,7398,192348.0,6.98,192354.98,Sell
34,2018-06-08,28.35,6785,192354.75,0.23,192354.98,Buy
35,2018-10-17,29.14,6785,197714.9,0.23,197715.13,Sell
36,2019-02-26,28.32,6981,197701.92,13.21,197715.13,Buy
37,2019-05-24,29.16,6981,203565.96,13.21,203579.16999999998,Sell
38,2019-06-25,31.42,6479,203570.18,8.99,203579.16999999998,Buy
39,2019-08-12,30.37,6479,196767.23,8.99,196776.22,Sell
40,2019-09-12,32.6,6036,196773.6,2.62,196776.22,Buy
41,2019-10-08,30.61,6036,184761.96,2.62,184764.58,Sell
42,2019-10-21,32.36,5709,184743.24,21.34,184764.58,Buy
43,2020-03-02,31.73,5709,181146.57,21.34,181167.91,Sell
44,2020-05-29,29.96,6046,181138.16,29.75,181167.91,Buy
45,2020-09-25,34.02,6046,205684.92,29.75,205714.67,Sell
46,2020-10-14,40.12,5127,205695.24,19.43,205714.67,Buy
47,2020-11-02,35.45,5127,181752.15,19.43,181771.58,Sell
48,2020-11-20,41.43,4387,181753.41,18.17,181771.58,Buy
49,2021-10-05,60.16,4387,263921.92,18.17,263940.08999999997,Sell
50,2021-10-22,66.63,3961,263921.43,18.66,263940.08999999997,Buy
51,2022-01-21,64.27,3961,254573.47,18.66,254592.13,Sell
52,2022-04-08,64.48,3948,254567.04,25.09,254592.13,Buy
53,2022-04-19,61.51,3948,242841.48,25.09,242866.57,Sell
