,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-12,6.27,15220,95429.4,4.6,95434.0,Sell
2,2012-08-01,6.77,14096,95429.92,4.08,95434.0,Buy
3,2012-10-26,7.07,14096,99658.72,4.08,99662.8,Sell
4,2013-01-10,7.69,12960,99662.4,0.4,99662.8,Buy
5,2013-06-26,9.19,12960,119102.4,0.4,119102.79999999999,Sell
6,2013-07-11,10.03,11874,119096.22,6.58,119102.79999999999,Buy
7,2013-08-30,9.69,11874,115059.06,6.58,115065.64,Sell
8,2013-09-13,10.24,11236,115056.64,9.0,115065.64,Buy
9,2014-01-30,11.57,11236,130000.52,9.0,130009.52,Sell
10,2014-02-20,12.13,10718,130009.34,0.18,130009.52,Buy
11,2014-04-16,12.48,10718,133760.64,0.18,133760.82,Sell
12,2014-04-17,12.53,10675,133757.75,3.07,133760.82,Buy
13,2014-08-06,13.3,10675,141977.5,3.07,141980.57,Sell
14,2014-08-22,14.46,9818,141968.28,12.29,141980.57,Buy
15,2014-10-06,14.27,9818,140102.86,12.29,140115.15,Sell
16,2014-11-12,15.09,9285,140110.65,4.5,140115.15,Buy
17,2015-01-16,14.51,9285,134725.35,4.5,134729.85,Sell
18,2015-02-19,16.05,8394,134723.7,6.15,134729.85,Buy
19,2015-03-16,15.61,8394,131030.34,6.15,131036.48999999999,Sell
20,2015-03-17,15.75,8319,131024.25,12.24,131036.48999999999,Buy
21,2015-06-18,16.36,8319,136098.84,12.24,136111.08,Sell
22,2015-06-19,16.54,8229,136107.66,3.42,136111.08,Buy
23,2015-07-01,15.96,8229,131334.84,3.42,131338.26,Sell
24,2015-11-05,16.25,8082,131332.5,5.76,131338.26,Buy
25,2015-12-15,15.31,8082,123735.42,5.76,123741.18,Sell
26,2016-03-24,15.01,8243,123727.43,13.75,123741.18,Buy
27,2016-05-23,15.48,8243,127601.64,13.75,127615.39,Sell
28,2016-05-31,16.24,7858,127613.92,1.47,127615.39,Buy
29,2016-06-30,15.83,7858,124392.14,1.47,124393.61,Sell
30,2016-07-14,17.25,7211,124389.75,3.86,124393.61,Buy
31,2016-09-15,16.64,7211,119991.04,3.86,119994.9,Sell
32,2016-11-25,18.04,6651,119984.04,10.86,119994.9,Buy
33,2017-04-19,20.52,6651,136478.52,10.86,136489.37999999998,Sell
34,2017-04-28,21.28,6413,136468.64,20.74,136489.37999999998,Buy
35,2017-08-29,22.04,6413,141342.52,20.74,141363.25999999998,Sell
36,2017-09-12,23.22,6087,141340.14,23.12,141363.25999999998,Buy
37,2018-02-09,25.45,6087,154914.15,23.12,154937.27,Sell
38,2018-06-07,28.58,5421,154932.18,5.09,154937.27,Buy
39,2018-10-16,28.36,5421,153739.56,5.09,153744.65,Sell
40,2019-02-08,26.31,5843,153729.33,15.32,153744.65,Buy
41,2019-05-23,29.05,5843,169739.15,15.32,169754.47,Sell
42,2019-06-14,30.21,5619,169749.99,4.48,169754.47,Buy
43,2019-08-09,30.95,5619,173908.05,4.48,173912.53,Sell
44,2019-09-11,32.02,5431,173900.62,11.91,173912.53,Buy
45,2019-09-26,32.09,5431,174280.79,11.91,174292.7,Sell
46,2019-10-18,32.2,5412,174266.4,26.3,174292.7,Buy
47,2020-02-28,29.78,5412,161169.36,26.3,161195.65999999997,Sell
48,2020-05-28,30.4,5302,161180.8,14.86,161195.65999999997,Buy
49,2020-09-24,33.74,5302,178889.48,14.86,178904.34,Sell
50,2020-10-13,40.46,4421,178873.66,30.68,178904.34,Buy
51,2020-10-30,35.03,4421,154867.63,30.68,154898.31,Sell
52,2020-11-12,41.03,3775,154888.25,10.06,154898.31,Buy
53,2020-11-13,40.95,3775,154586.25,10.06,154596.31,Sell
54,2020-11-16,42.27,3657,154581.39,14.92,154596.31,Buy
55,2021-09-23,62.98,3657,230317.86,14.92,230332.78,Sell
56,2021-09-24,63.42,3631,230278.02,54.76,230332.78,Buy
57,2021-10-04,60.95,3631,221309.45,54.76,221364.21000000002,Sell
58,2021-10-21,66.25,3341,221341.25,22.96,221364.21000000002,Buy
59,2022-01-20,66.64,3341,222644.24,22.96,222667.19999999998,Sell
60,2022-04-07,63.79,3490,222627.1,40.1,222667.19999999998,Buy
61,2022-04-18,61.23,3490,213692.7,40.1,213732.80000000002,Sell
