,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-09,6.47,15220,98473.4,4.6,98478.0,Sell
2,2012-07-27,6.6,14920,98472.0,6.0,98478.0,Buy
3,2012-10-23,7.13,14920,106379.6,6.0,106385.6,Sell
4,2013-01-07,7.6,13998,106384.8,0.8,106385.6,Buy
5,2013-04-19,8.54,13998,119542.92,0.8,119543.72,Sell
6,2013-04-22,8.68,13772,119540.96,2.76,119543.72,Buy
7,2013-06-21,9.16,13772,126151.52,2.76,126154.28,Sell
8,2013-07-08,9.65,13072,126144.8,9.48,126154.28,Buy
9,2013-08-20,9.76,13072,127582.72,9.48,127592.2,Sell
10,2013-09-10,10.18,12533,127585.94,6.26,127592.2,Buy
11,2013-10-08,10.11,12533,126708.63,6.26,126714.89,Sell
12,2013-10-18,10.89,11635,126705.15,9.74,126714.89,Buy
13,2014-01-27,11.61,11635,135082.35,9.74,135092.09,Sell
14,2014-02-14,12.08,11183,135090.64,1.45,135092.09,Buy
15,2014-04-11,12.05,11183,134755.15,1.45,134756.6,Sell
16,2014-04-17,12.53,10754,134747.62,8.98,134756.6,Buy
17,2014-08-01,13.51,10754,145286.54,8.98,145295.52000000002,Sell
18,2014-08-19,14.24,10203,145290.72,4.8,145295.52000000002,Buy
19,2014-09-26,14.19,10203,144780.57,4.8,144785.37,Sell
20,2014-09-29,14.11,10261,144782.71,2.66,144785.37,Buy
21,2014-10-01,14.18,10261,145500.98,2.66,145503.64,Sell
22,2014-10-29,14.4,10104,145497.6,6.04,145503.64,Buy
23,2014-12-16,14.36,10104,145093.44,6.04,145099.48,Sell
24,2014-12-18,15.26,9508,145092.08,7.4,145099.48,Buy
25,2015-01-06,15.01,9508,142715.08,7.4,142722.47999999998,Sell
26,2015-01-09,15.64,9125,142715.0,7.48,142722.47999999998,Buy
27,2015-01-13,15.29,9125,139521.25,7.48,139528.73,Sell
28,2015-01-23,15.52,8990,139524.8,3.93,139528.73,Buy
29,2015-01-28,15.28,8990,137367.2,3.93,137371.13,Sell
30,2015-02-13,15.99,8591,137370.09,1.04,137371.13,Buy
31,2015-03-11,15.39,8591,132215.49,1.04,132216.53,Sell
32,2015-03-17,15.75,8394,132205.5,11.03,132216.53,Buy
33,2015-03-26,15.47,8394,129855.18,11.03,129866.20999999999,Sell
34,2015-03-31,15.81,8214,129863.34,2.87,129866.20999999999,Buy
35,2015-04-01,15.68,8214,128795.52,2.87,128798.39,Sell
36,2015-04-07,15.89,8105,128788.45,9.94,128798.39,Buy
37,2015-04-20,16.07,8105,130247.35,9.94,130257.29000000001,Sell
38,2015-04-21,16.32,7981,130249.92,7.37,130257.29000000001,Buy
39,2015-05-01,16.11,7981,128573.91,7.37,128581.28,Sell
40,2015-05-15,16.56,7764,128571.84,9.44,128581.28,Buy
41,2015-06-08,16.12,7764,125155.68,9.44,125165.12,Sell
42,2015-06-11,16.4,7632,125164.8,0.32,125165.12,Buy
43,2015-06-15,15.95,7632,121730.4,0.32,121730.72,Sell
44,2015-06-19,16.54,7359,121717.86,12.86,121730.72,Buy
45,2015-06-26,16.35,7359,120319.65,12.86,120332.51,Sell
46,2015-07-17,16.63,7235,120318.05,14.46,120332.51,Buy
47,2015-07-27,15.79,7235,114240.65,14.46,114255.11,Sell
48,2015-08-18,16.29,7013,114241.77,13.34,114255.11,Buy
49,2015-08-20,15.7,7013,110104.1,13.34,110117.44,Sell
50,2015-11-02,15.92,6916,110102.72,14.72,110117.44,Buy
51,2015-12-10,15.44,6916,106783.04,14.72,106797.76,Sell
52,2015-12-17,15.87,6729,106789.23,8.53,106797.76,Buy
53,2015-12-18,15.2,6729,102280.8,8.53,102289.33,Sell
54,2015-12-24,15.61,6552,102276.72,12.61,102289.33,Buy
55,2015-12-28,15.49,6552,101490.48,12.61,101503.09,Sell
56,2015-12-30,15.82,6416,101501.12,1.97,101503.09,Buy
57,2015-12-31,15.53,6416,99640.48,1.97,99642.45,Sell
58,2016-03-17,15.09,6603,99639.27,3.18,99642.45,Buy
59,2016-05-16,15.41,6603,101752.23,3.18,101755.40999999999,Sell
60,2016-05-17,15.63,6510,101751.3,4.11,101755.40999999999,Buy
61,2016-05-18,15.32,6510,99733.2,4.11,99737.31,Sell
62,2016-05-25,15.96,6249,99734.04,3.27,99737.31,Buy
63,2016-06-16,15.64,6249,97734.36,3.27,97737.63,Sell
64,2016-06-17,15.88,6154,97725.52,12.11,97737.63,Buy
65,2016-06-20,16.13,6154,99264.02,12.11,99276.13,Sell
66,2016-06-21,16.05,6185,99269.25,6.88,99276.13,Buy
67,2016-06-27,15.01,6185,92836.85,6.88,92843.73000000001,Sell
68,2016-07-05,16.1,5766,92832.6,11.13,92843.73000000001,Buy
69,2016-07-06,15.92,5766,91794.72,11.13,91805.85,Sell
70,2016-07-07,16.24,5653,91804.72,1.13,91805.85,Buy
71,2016-09-12,16.57,5653,93670.21,1.13,93671.34000000001,Sell
72,2016-09-23,17.4,5383,93664.2,7.14,93671.34000000001,Buy
73,2016-09-26,17.13,5383,92210.79,7.14,92217.93,Sell
74,2016-11-21,17.72,5204,92214.88,3.05,92217.93,Buy
75,2017-04-13,20.37,5204,106005.48,3.05,106008.53,Sell
76,2017-04-21,20.64,5136,106007.04,1.49,106008.53,Buy
77,2017-04-24,20.98,5136,107753.28,1.49,107754.77,Sell
78,2017-04-25,21.11,5104,107745.44,9.33,107754.77,Buy
79,2017-05-18,20.68,5104,105550.72,9.33,105560.05,Sell
80,2017-05-22,21.23,4972,105555.56,4.49,105560.05,Buy
81,2017-07-07,21.79,4972,108339.88,4.49,108344.37000000001,Sell
82,2017-07-10,21.93,4940,108334.2,10.17,108344.37000000001,Buy
83,2017-08-11,22.24,4940,109865.6,10.17,109875.77,Sell
84,2017-08-15,22.78,4823,109867.94,7.83,109875.77,Buy
85,2017-08-18,22.02,4823,106202.46,7.83,106210.29000000001,Sell
86,2017-08-23,22.28,4767,106208.76,1.53,106210.29000000001,Buy
87,2017-08-24,22.4,4767,106780.8,1.53,106782.33,Sell
88,2017-08-31,22.7,4704,106780.8,1.53,106782.33,Buy
89,2018-02-06,25.31,4704,119058.24,1.53,119059.77,Sell
90,2018-02-16,27.69,4299,119039.31,20.46,119059.77,Buy
91,2018-02-21,27.58,4299,118566.42,20.46,118586.88,Sell
92,2018-02-26,28.39,4177,118585.03,1.85,118586.88,Buy
93,2018-03-01,27.47,4177,114742.19,1.85,114744.04000000001,Sell
94,2018-03-12,29.02,3953,114716.06,27.98,114744.04000000001,Buy
95,2018-03-15,28.32,3953,111948.96,27.98,111976.94,Sell
96,2018-04-19,27.04,4141,111972.64,4.3,111976.94,Buy
97,2018-04-23,26.58,4141,110067.78,4.3,110072.08,Sell
98,2018-05-14,27.72,3970,110048.4,23.68,110072.08,Buy
99,2018-05-16,27.26,3970,108222.2,23.68,108245.87999999999,Sell
100,2018-06-04,27.89,3881,108241.09,4.79,108245.87999999999,Buy
101,2018-06-28,27.0,3881,104787.0,4.79,104791.79,Sell
102,2018-07-02,27.04,3875,104780.0,11.79,104791.79,Buy
103,2018-07-05,27.56,3875,106795.0,11.79,106806.79,Sell
104,2018-07-06,27.76,3847,106792.72,14.07,106806.79,Buy
105,2018-10-11,28.5,3847,109639.5,14.07,109653.57,Sell
106,2019-02-05,27.07,4050,109633.5,20.07,109653.57,Buy
107,2019-02-13,27.56,4050,111618.0,20.07,111638.07,Sell
108,2019-02-20,28.09,3974,111629.66,8.41,111638.07,Buy
109,2019-05-14,28.85,3974,114649.9,8.41,114658.31,Sell
110,2019-05-17,29.47,3890,114638.3,20.01,114658.31,Buy
111,2019-05-20,29.25,3890,113782.5,20.01,113802.51,Sell
112,2019-06-11,30.59,3720,113794.8,7.71,113802.51,Buy
113,2019-08-06,29.58,3720,110037.6,7.71,110045.31000000001,Sell
114,2019-09-06,31.98,3441,110043.18,2.13,110045.31000000001,Buy
115,2019-09-17,32.29,3441,111109.89,2.13,111112.02,Sell
116,2019-09-18,32.43,3426,111105.18,6.84,111112.02,Buy
117,2019-09-23,32.07,3426,109871.82,6.84,109878.66,Sell
118,2019-10-15,31.86,3448,109853.28,25.38,109878.66,Buy
119,2020-02-25,37.71,3448,130024.08,25.38,130049.46,Sell
120,2020-05-20,28.68,4534,130035.12,14.34,130049.46,Buy
121,2020-05-21,28.86,4534,130851.24,14.34,130865.58,Sell
122,2020-05-22,28.43,4603,130863.29,2.29,130865.58,Buy
123,2020-09-21,34.72,4603,159816.16,2.29,159818.45,Sell
124,2020-10-02,35.94,4446,159789.24,29.21,159818.45,Buy
125,2020-10-05,36.88,4446,163968.48,29.21,163997.69,Sell
126,2020-10-06,37.73,4346,163974.58,23.11,163997.69,Buy
127,2020-10-07,37.3,4346,162105.8,23.11,162128.90999999997,Sell
128,2020-10-08,38.34,4228,162101.52,27.39,162128.90999999997,Buy
129,2020-10-27,37.6,4228,158972.8,27.39,159000.19,Sell
130,2020-11-09,42.96,3701,158994.96,5.23,159000.19,Buy
131,2020-11-13,40.95,3701,151555.95,5.23,151561.18000000002,Sell
132,2020-11-16,42.27,3585,151537.95,23.23,151561.18000000002,Buy
133,2021-02-01,45.38,3585,162687.3,23.23,162710.53,Sell
134,2021-02-02,46.82,3475,162699.5,11.03,162710.53,Buy
135,2021-03-01,48.19,3475,167460.25,11.03,167471.28,Sell
136,2021-03-02,49.25,3400,167450.0,21.28,167471.28,Buy
137,2021-03-04,47.06,3400,160004.0,21.28,160025.28,Sell
138,2021-03-08,47.89,3341,160000.49,24.79,160025.28,Buy
139,2021-03-09,48.17,3341,160935.97,24.79,160960.76,Sell
140,2021-03-10,49.14,3275,160933.5,27.26,160960.76,Buy
141,2021-06-21,56.53,3275,185135.75,27.26,185163.01,Sell
142,2021-06-22,57.63,3212,185107.56,55.45,185163.01,Buy
143,2021-09-20,61.57,3212,197762.84,55.45,197818.29,Sell
144,2021-09-24,63.42,3119,197806.98,11.31,197818.29,Buy
145,2021-09-29,61.6,3119,192130.4,11.31,192141.71,Sell
146,2021-10-18,63.99,3002,192097.98,43.73,192141.71,Buy
147,2021-12-02,65.68,3002,197171.36,43.73,197215.09,Sell
148,2021-12-03,68.18,2892,197176.56,38.53,197215.09,Buy
149,2021-12-06,67.27,2892,194544.84,38.53,194583.37,Sell
150,2021-12-07,69.71,2791,194560.61,22.76,194583.37,Buy
151,2021-12-21,68.34,2791,190736.94,22.76,190759.7,Sell
152,2021-12-22,69.58,2741,190718.78,40.92,190759.7,Buy
153,2022-01-10,69.38,2741,190170.58,40.92,190211.5,Sell
154,2022-01-12,72.08,2638,190147.04,64.46,190211.5,Buy
155,2022-01-14,68.86,2638,181652.68,64.46,181717.13999999998,Sell
156,2022-04-04,65.99,2753,181670.47,46.67,181717.13999999998,Buy
157,2022-04-12,63.02,2753,173494.06,46.67,173540.73,Sell
