,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-07-17,6.52,15220,99234.4,4.6,99239.0,Sell
2,2012-08-06,6.87,14445,99237.15,1.85,99239.0,Buy
3,2012-11-02,7.3,14445,105448.5,1.85,105450.35,Sell
4,2013-01-15,7.64,13802,105447.28,3.07,105450.35,Buy
5,2013-07-01,9.35,13802,129048.7,3.07,129051.77,Sell
6,2013-07-16,10.16,12701,129042.16,9.61,129051.77,Buy
7,2013-09-05,9.84,12701,124977.84,9.61,124987.45,Sell
8,2013-09-18,10.46,11949,124986.54,0.91,124987.45,Buy
9,2014-02-04,11.07,11949,132275.43,0.91,132276.34,Sell
10,2014-03-05,12.72,10399,132275.28,1.06,132276.34,Buy
11,2014-08-11,13.69,10399,142362.31,1.06,142363.37,Sell
12,2014-08-27,14.61,9744,142359.84,3.53,142363.37,Buy
13,2014-10-09,14.11,9744,137487.84,3.53,137491.37,Sell
14,2014-11-17,15.16,9069,137486.04,5.33,137491.37,Buy
15,2015-01-22,15.27,9069,138483.63,5.33,138488.96,Sell
16,2015-01-23,15.52,8923,138484.96,4.0,138488.96,Buy
17,2015-07-07,15.82,8923,141161.86,4.0,141165.86,Sell
18,2015-11-10,15.8,8934,141157.2,8.66,141165.86,Buy
19,2016-01-11,13.73,8934,122663.82,8.66,122672.48000000001,Sell
20,2016-03-30,15.66,7833,122664.78,7.7,122672.48000000001,Buy
21,2016-09-20,17.03,7833,133395.99,7.7,133403.69,Sell
22,2016-11-30,18.12,7362,133399.44,4.25,133403.69,Buy
23,2018-02-14,26.13,7362,192369.06,4.25,192373.31,Sell
24,2018-06-12,28.8,6679,192355.2,18.11,192373.31,Buy
25,2018-10-19,28.45,6679,190017.55,18.11,190035.65999999997,Sell
26,2019-02-28,28.28,6719,190013.32,22.34,190035.65999999997,Buy
27,2019-05-29,28.15,6719,189139.85,22.34,189162.19,Sell
28,2019-07-09,31.75,5957,189134.75,27.44,189162.19,Buy
29,2019-08-14,29.97,5957,178531.29,27.44,178558.73,Sell
30,2019-09-16,32.28,5531,178540.68,18.05,178558.73,Buy
31,2019-09-17,32.29,5531,178595.99,18.05,178614.03999999998,Sell
32,2019-09-18,32.43,5507,178592.01,22.03,178614.03999999998,Buy
33,2019-10-10,30.61,5507,168569.27,22.03,168591.3,Sell
34,2019-10-23,32.19,5237,168579.03,12.27,168591.3,Buy
35,2020-03-04,33.42,5237,175020.54,12.27,175032.81,Sell
36,2020-06-02,30.76,5690,175024.4,8.41,175032.81,Buy
37,2020-09-29,36.45,5690,207400.5,8.41,207408.91,Sell
38,2020-10-16,39.7,5224,207392.8,16.11,207408.91,Buy
39,2020-11-04,37.74,5224,197153.76,16.11,197169.87,Sell
40,2020-11-24,42.05,4688,197130.4,39.47,197169.87,Buy
41,2021-10-07,62.45,4688,292765.6,39.47,292805.06999999995,Sell
42,2021-10-26,67.81,4318,292803.58,1.49,292805.06999999995,Buy
43,2022-01-25,60.66,4318,261929.88,1.49,261931.37,Sell
