,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,6.57,15220,99995.4,4.6,100000.0,Buy
1,2012-11-13,6.68,15220,101669.6,4.6,101674.20000000001,Sell
2,2013-01-25,8.02,12677,101669.54,4.66,101674.20000000001,Buy
3,2014-10-20,12.94,12677,164040.38,4.66,164045.04,Sell
4,2014-11-26,15.67,10468,164033.56,11.48,164045.04,Buy
5,2015-09-09,14.5,10468,151786.0,11.48,151797.48,Sell
6,2015-11-19,15.94,9523,151796.62,0.86,151797.48,Buy
7,2016-01-21,12.74,9523,121323.02,0.86,121323.88,Sell
8,2016-04-08,15.5,7827,121318.5,5.38,121323.88,Buy
9,2016-10-21,16.77,7827,131258.79,5.38,131264.17,Sell
10,2016-12-09,18.72,7011,131245.92,18.25,131264.17,Buy
11,2018-04-04,24.59,7011,172400.49,18.25,172418.74,Sell
12,2018-06-21,28.38,6075,172408.5,10.24,172418.74,Buy
13,2018-10-30,25.68,6075,156006.0,10.24,156016.24,Sell
14,2019-03-11,27.51,5671,156009.21,7.03,156016.24,Buy
15,2019-06-07,29.55,5671,167578.05,7.03,167585.08,Sell
16,2019-07-18,32.07,5225,167565.75,19.33,167585.08,Buy
17,2019-08-23,30.5,5225,159362.5,19.33,159381.83,Sell
18,2019-11-01,33.5,4757,159359.5,22.33,159381.83,Buy
19,2020-03-13,24.03,4757,114310.71,22.33,114333.04000000001,Sell
20,2020-06-11,31.67,3610,114328.7,4.34,114333.04000000001,Buy
21,2022-02-03,65.67,3610,237068.7,4.34,237073.04,Sell
