,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-01,169.86,885,150326.1,56.95,150383.05000000002,Sell
2,2015-11-03,185.64,810,150368.4,14.65,150383.05000000002,Buy
3,2016-01-13,172.94,810,140081.4,14.65,140096.05,Sell
4,2016-04-25,186.18,752,140007.36,88.69,140096.05,Buy
5,2018-11-02,257.78,752,193850.56,88.69,193939.25,Sell
6,2019-02-25,264.93,732,193928.76,10.49,193939.25,Buy
7,2020-03-17,235.63,732,172481.16,10.49,172491.65,Sell
8,2020-06-05,306.84,562,172444.08,47.57,172491.65,Buy
9,2022-03-02,429.18,562,241199.16,47.57,241246.73,Sell
10,2022-03-30,458.36,526,241097.36,149.37,241246.73,Buy
11,2022-04-22,435.03,526,228825.78,149.37,228975.15,Sell
