,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-03,172.62,885,152768.7,56.95,152825.65000000002,Sell
2,2015-11-05,186.04,821,152738.84,86.81,152825.65000000002,Buy
3,2016-01-15,166.11,821,136376.31,86.81,136463.12,Sell
4,2016-04-27,186.36,732,136415.52,47.6,136463.12,Buy
5,2018-11-06,256.44,732,187714.08,47.6,187761.68,Sell
6,2019-02-27,262.85,714,187674.9,86.78,187761.68,Buy
7,2020-03-19,230.06,714,164262.84,86.78,164349.62,Sell
8,2020-06-09,309.81,530,164199.3,150.32,164349.62,Buy
9,2022-03-04,428.56,530,227136.8,150.32,227287.12,Sell
10,2022-04-01,451.36,503,227034.08,253.04,227287.12,Buy
11,2022-04-26,424.0,503,213272.0,253.04,213525.04,Sell
