,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-10,171.12,885,151441.2,56.95,151498.15000000002,Sell
2,2015-11-11,184.67,820,151429.4,68.75,151498.15000000002,Buy
3,2016-01-22,168.79,820,138407.8,68.75,138476.55,Sell
4,2016-06-16,185.72,745,138361.4,115.15,138476.55,Buy
5,2018-12-26,222.69,745,165904.05,115.15,166019.19999999998,Sell
6,2019-03-05,263.81,629,165936.49,82.71,166019.19999999998,Buy
7,2020-03-25,236.85,629,148978.65,82.71,149061.36,Sell
8,2020-06-15,288.26,517,149030.42,30.94,149061.36,Buy
9,2022-03-10,419.4,517,216829.8,30.94,216860.74,Sell
10,2022-04-07,443.67,488,216510.96,349.78,216860.74,Buy
11,2022-05-02,410.3,488,200226.4,349.78,200576.18,Sell
