,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-11,171.85,885,152087.25,56.95,152144.2,Sell
2,2015-11-12,182.57,833,152080.81,63.39,152144.2,Buy
3,2015-11-13,180.67,833,150498.11,63.39,150561.5,Sell
4,2016-06-17,186.17,808,150425.36,136.14,150561.5,Buy
5,2018-12-27,228.92,808,184967.36,136.14,185103.5,Sell
6,2019-03-06,263.44,702,184934.88,168.62,185103.5,Buy
7,2020-03-26,241.35,702,169427.7,168.62,169596.32,Sell
8,2020-06-16,305.15,555,169358.25,238.07,169596.32,Buy
9,2022-03-11,424.96,555,235852.8,238.07,236090.87,Sell
10,2022-04-08,446.04,529,235955.16,135.71,236090.87,Buy
11,2022-05-03,413.23,529,218598.67,135.71,218734.38,Sell
