,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2014-10-17,163.29,885,144511.65,56.95,144568.6,Sell
2,2014-10-24,169.21,854,144505.34,63.26,144568.6,Buy
3,2015-08-26,168.94,854,144274.76,63.26,144338.02000000002,Sell
4,2015-10-28,183.01,788,144211.88,126.14,144338.02000000002,Buy
5,2015-12-14,178.65,788,140776.2,126.14,140902.34000000003,Sell
6,2015-12-30,184.2,764,140728.8,173.54,140902.34000000003,Buy
7,2016-01-07,173.72,764,132722.08,173.54,132895.62,Sell
8,2016-04-19,187.5,708,132750.0,145.62,132895.62,Buy
9,2016-05-06,182.42,708,129153.36,145.62,129298.98,Sell
10,2016-06-02,187.55,689,129221.95,77.03,129298.98,Buy
11,2018-10-29,252.2,689,173765.8,77.03,173842.83,Sell
12,2019-02-19,260.92,666,173772.72,70.11,173842.83,Buy
13,2020-03-11,269.92,666,179766.72,70.11,179836.83,Sell
14,2020-06-01,293.68,612,179732.16,104.67,179836.83,Buy
15,2022-02-24,407.98,612,249683.76,104.67,249788.43000000002,Sell
16,2022-03-24,444.02,562,249539.24,249.19,249788.43000000002,Buy
17,2022-04-18,434.93,562,244430.66,249.19,244679.85,Sell
