,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2012-11-15,113.12,885,100111.2,56.95,100168.15,Sell
2,2012-11-20,115.56,866,100074.96,93.19,100168.15,Buy
3,2014-10-14,163.29,866,141409.14,93.19,141502.33000000002,Sell
4,2014-10-21,166.11,851,141359.61,142.72,141502.33000000002,Buy
5,2015-08-21,177.43,851,150992.93,142.72,151135.65,Sell
6,2015-10-23,183.23,824,150981.52,154.13,151135.65,Buy
7,2015-11-13,180.67,824,148872.08,154.13,149026.21,Sell
8,2015-11-17,182.12,818,148974.16,52.05,149026.21,Buy
9,2015-12-04,181.78,818,148696.04,52.05,148748.09,Sell
10,2015-12-07,184.98,804,148723.92,24.17,148748.09,Buy
11,2015-12-09,182.3,804,146569.2,24.17,146593.37000000002,Sell
12,2015-12-24,182.96,801,146550.96,42.41,146593.37000000002,Buy
13,2016-01-04,178.31,801,142826.31,42.41,142868.72,Sell
14,2016-04-01,182.68,782,142855.76,12.96,142868.72,Buy
15,2016-04-06,182.54,782,142746.28,12.96,142759.24,Sell
16,2016-04-14,186.01,767,142669.67,89.57,142759.24,Buy
17,2016-05-03,184.62,767,141603.54,89.57,141693.11000000002,Sell
18,2016-05-11,185.86,762,141625.32,67.79,141693.11000000002,Buy
19,2016-05-16,183.23,762,139621.26,67.79,139689.05000000002,Sell
20,2016-05-25,186.54,748,139531.92,157.13,139689.05000000002,Buy
21,2016-06-28,181.05,748,135425.4,157.13,135582.53,Sell
22,2016-06-29,184.07,736,135475.52,107.01,135582.53,Buy
23,2018-10-12,259.68,736,191124.48,107.01,191231.49000000002,Sell
24,2018-10-15,258.53,739,191053.67,177.82,191231.49000000002,Buy
25,2018-10-24,256.45,739,189516.55,177.82,189694.37,Sell
26,2018-11-09,261.8,724,189543.2,151.17,189694.37,Buy
27,2018-11-12,260.07,724,188290.68,151.17,188441.85,Sell
28,2018-11-29,256.81,733,188241.73,200.12,188441.85,Buy
29,2018-11-30,256.9,733,188307.7,200.12,188507.82,Sell
30,2018-12-03,262.97,716,188286.52,221.3,188507.82,Buy
31,2018-12-06,249.5,716,178642.0,221.3,178863.3,Sell
32,2019-02-05,257.11,695,178691.45,171.85,178863.3,Buy
33,2019-02-08,253.63,695,176272.85,171.85,176444.7,Sell
34,2019-02-13,259.55,679,176234.45,210.25,176444.7,Buy
35,2019-05-30,264.56,679,179636.24,210.25,179846.49,Sell
36,2019-06-05,267.62,672,179840.64,5.85,179846.49,Buy
37,2020-02-28,277.61,672,186553.92,5.85,186559.77000000002,Sell
38,2020-03-03,297.62,626,186310.12,249.65,186559.77000000002,Buy
39,2020-03-04,294.37,626,184275.62,249.65,184525.27,Sell
40,2020-03-05,293.27,629,184466.83,58.44,184525.27,Buy
41,2020-03-06,281.89,629,177308.81,58.44,177367.25,Sell
42,2020-05-27,292.23,606,177091.38,275.87,177367.25,Buy
43,2022-01-24,428.84,606,259877.04,275.87,260152.91,Sell
44,2022-01-25,429.86,605,260065.3,87.61,260152.91,Buy
45,2022-01-26,437.47,605,264669.35,87.61,264756.95999999996,Sell
46,2022-01-31,437.98,604,264539.92,217.04,264756.95999999996,Buy
47,2022-02-14,436.67,604,263748.68,217.04,263965.72,Sell
48,2022-02-16,440.65,599,263949.35,16.37,263965.72,Buy
49,2022-02-18,434.1,599,260025.9,16.37,260042.27,Sell
50,2022-03-21,442.43,587,259706.41,335.86,260042.27,Buy
51,2022-04-12,441.17,587,258966.79,335.86,259302.65,Sell
