,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2012-11-19,114.72,885,101527.2,56.95,101584.15,Sell
2,2012-11-20,115.56,879,101577.24,6.91,101584.15,Buy
3,2014-10-16,158.64,879,139444.56,6.91,139451.47,Sell
4,2014-10-23,168.66,826,139313.16,138.31,139451.47,Buy
5,2015-08-25,171.89,826,141981.14,138.31,142119.45,Sell
6,2015-10-27,182.3,779,142011.7,107.75,142119.45,Buy
7,2015-12-11,179.78,779,140048.62,107.75,140156.37,Sell
8,2015-12-29,183.67,763,140140.21,16.16,140156.37,Buy
9,2016-01-06,176.4,763,134593.2,16.16,134609.36000000002,Sell
10,2016-04-18,185.75,724,134483.0,126.36,134609.36000000002,Buy
11,2016-05-05,183.76,724,133042.24,126.36,133168.59999999998,Sell
12,2016-06-01,186.95,712,133108.4,60.2,133168.59999999998,Buy
13,2018-10-26,249.5,712,177644.0,60.2,177704.2,Sell
14,2019-02-07,255.69,694,177448.86,255.34,177704.2,Buy
15,2019-02-08,253.63,694,176019.22,255.34,176274.56,Sell
16,2019-02-15,260.81,675,176046.75,227.81,176274.56,Buy
17,2020-03-10,273.71,675,184754.25,227.81,184982.06,Sell
18,2020-05-29,292.56,632,184897.92,84.14,184982.06,Buy
19,2022-01-28,429.48,632,271431.36,84.14,271515.5,Sell
20,2022-01-31,437.98,619,271109.62,405.88,271515.5,Buy
21,2022-02-23,429.46,619,265835.74,405.88,266241.62,Sell
22,2022-03-23,444.99,598,266104.02,137.6,266241.62,Buy
23,2022-04-14,441.64,598,264100.72,137.6,264238.31999999995,Sell
