,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2012-11-16,113.05,885,100049.25,56.95,100106.2,Sell
2,2012-11-21,115.89,863,100013.07,93.13,100106.2,Buy
3,2014-10-15,160.46,863,138476.98,93.13,138570.11000000002,Sell
4,2014-10-22,168.48,822,138490.56,79.55,138570.11000000002,Buy
5,2015-08-24,164.91,822,135556.02,79.55,135635.56999999998,Sell
6,2015-10-26,183.28,740,135627.2,8.37,135635.56999999998,Buy
7,2015-11-16,178.87,740,132363.8,8.37,132372.16999999998,Sell
8,2015-11-17,182.12,726,132219.12,153.05,132372.16999999998,Buy
9,2015-12-10,181.62,726,131856.12,153.05,132009.16999999998,Sell
10,2015-12-28,182.2,724,131912.8,96.37,132009.16999999998,Buy
11,2016-01-05,179.12,724,129682.88,96.37,129779.25,Sell
12,2016-04-15,185.95,697,129607.15,172.1,129779.25,Buy
13,2016-05-04,183.25,697,127725.25,172.1,127897.35,Sell
14,2016-05-12,185.31,690,127863.9,33.45,127897.35,Buy
15,2016-05-19,182.42,690,125869.8,33.45,125903.25,Sell
16,2016-05-31,188.23,668,125737.64,165.61,125903.25,Buy
17,2018-10-25,250.87,668,167581.16,165.61,167746.77,Sell
18,2018-12-04,261.18,642,167677.56,69.21,167746.77,Buy
19,2018-12-06,249.5,642,160179.0,69.21,160248.21,Sell
20,2019-02-06,257.44,622,160127.68,120.53,160248.21,Buy
21,2019-02-11,255.94,622,159194.68,120.53,159315.21,Sell
22,2019-02-14,258.37,616,159155.92,159.29,159315.21,Buy
23,2019-06-04,262.68,616,161810.88,159.29,161970.17,Sell
24,2019-06-05,267.62,605,161910.1,60.07,161970.17,Buy
25,2020-03-02,286.76,605,173489.8,60.07,173549.87,Sell
26,2020-03-03,297.62,583,173512.46,37.41,173549.87,Buy
27,2020-03-04,294.37,583,171617.71,37.41,171655.12,Sell
28,2020-03-05,293.27,585,171562.95,92.17,171655.12,Buy
29,2020-03-06,281.89,585,164905.65,92.17,164997.82,Sell
30,2020-05-28,294.67,559,164720.53,277.29,164997.82,Buy
31,2022-01-27,435.02,559,243176.18,277.29,243453.47,Sell
32,2022-02-01,447.35,544,243358.4,95.07,243453.47,Buy
33,2022-02-15,440.45,544,239604.8,95.07,239699.87,Sell
34,2022-02-16,440.65,543,239272.95,426.92,239699.87,Buy
35,2022-02-22,428.7,543,232784.1,426.92,233211.02000000002,Sell
36,2022-03-22,443.94,525,233068.5,142.52,233211.02000000002,Buy
37,2022-04-13,436.15,525,228978.75,142.52,229121.27,Sell
