,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-09-09,175.31,885,155149.35,56.95,155206.30000000002,Sell
2,2015-11-10,183.46,845,155023.7,182.6,155206.30000000002,Buy
3,2016-01-21,165.61,845,139940.45,182.6,140123.05000000002,Sell
4,2016-06-15,185.98,753,140042.94,80.11,140123.05000000002,Buy
5,2018-12-24,225.59,753,169869.27,80.11,169949.37999999998,Sell
6,2019-03-04,265.75,639,169814.25,135.13,169949.37999999998,Buy
7,2020-03-24,226.74,639,144886.86,135.13,145021.99,Sell
8,2020-06-12,298.15,486,144900.9,121.09,145021.99,Buy
9,2022-03-09,422.0,486,205092.0,121.09,205213.09,Sell
10,2022-04-06,444.97,461,205131.17,81.92,205213.09,Buy
11,2022-04-29,421.77,461,194435.97,81.92,194517.89,Sell
