,Date,Price,Shares,Market Value,Remaining Amount,Total Amount,Action
0,2012-07-01,112.93,885,99943.05,56.95,100000.0,Buy
1,2015-08-28,174.59,885,154512.15,56.95,154569.1,Sell
2,2015-10-30,184.83,836,154517.88,51.22,154569.1,Buy
3,2015-12-16,182.45,836,152528.2,51.22,152579.42,Sell
4,2016-04-21,187.84,812,152526.08,53.34,152579.42,Buy
5,2018-10-31,253.94,812,206199.28,53.34,206252.62,Sell
6,2019-02-21,262.07,787,206249.09,3.53,206252.62,Buy
7,2020-03-13,252.99,787,199103.13,3.53,199106.66,Sell
8,2020-06-03,300.08,663,198953.04,153.62,199106.66,Buy
9,2022-02-28,428.84,663,284320.92,153.62,284474.54,Sell
10,2022-03-28,450.12,631,284025.72,448.82,284474.54,Buy
11,2022-04-20,445.0,631,280795.0,448.82,281243.82,Sell
